iri,label,typeLabel,country
http://www.wikidata.org/entity/Q16867546,Schloss Weinfelden,architectural structure | castle,Switzerland
http://www.wikidata.org/entity/Q39006373,Ffridd y Castell,castle,United Kingdom
http://www.wikidata.org/entity/Q65146913,Château de Villemur,castle,France
http://www.wikidata.org/entity/Q1345969,Enzenburg,castle,Germany
http://www.wikidata.org/entity/Q21907053,Château fort de Chateau-Chalon,castle,France
http://www.wikidata.org/entity/Q104529284,Burgruine Gams,castle | castle ruin,Switzerland
http://www.wikidata.org/entity/Q1010761,Burg Altenwied,castle | cultural heritage monument in Germany,Germany
http://www.wikidata.org/entity/Q3662115,Castel Pietra,castle,Italy
http://www.wikidata.org/entity/Q32698,Carrick Castle,castle,United Kingdom
http://www.wikidata.org/entity/Q1910237,Château de Thillombois,castle,France
http://www.wikidata.org/entity/Q1011174,Burg Breitenbühl,castle,Germany
http://www.wikidata.org/entity/Q2289715,Sinzigburg,castle | archaeological site,Germany
http://www.wikidata.org/entity/Q21598548,Sviňomazy Castle,castle,Czech Republic
http://www.wikidata.org/entity/Q5315200,Dungiven Castle,castle,United Kingdom
http://www.wikidata.org/entity/Q1011349,Choustník Castle,castle | castle ruin,Czech Republic
http://www.wikidata.org/entity/Q25052464,Castello di Carimate,castle,Italy
http://www.wikidata.org/entity/Q113292475,Castello di Codronco,castle,Italy
http://www.wikidata.org/entity/Q23689335,Primaresburg,castle,Austria
http://www.wikidata.org/entity/Q16653091,Kreuzburg Castle,castle,Russia | State of the Teutonic Order
http://www.wikidata.org/entity/Q15111785,Grasburg (Hohenroda),castle,Germany
http://www.wikidata.org/entity/Q11680608,Castell de Sant Iscle,castle,Spain
http://www.wikidata.org/entity/Q5392621,Wasserburg Ottersbach,castle,Germany
http://www.wikidata.org/entity/Q15793074,Burg Aßling,castle | archaeological site,Germany
http://www.wikidata.org/entity/Q2968122,Château d'Arnicourt,castle,France
http://www.wikidata.org/entity/Q26424919,Rock Castle,castle,United Kingdom
http://www.wikidata.org/entity/Q33519990,Castle of La Vilueña,castle,Spain
http://www.wikidata.org/entity/Q17589833,Castell de Castellfollit,castle,Spain
http://www.wikidata.org/entity/Q13217481,Deblín Castle,castle,Czech Republic
http://www.wikidata.org/entity/Q24660512,Gelli Garn Castle,castle,United Kingdom
http://www.wikidata.org/entity/Q1014176,Střmen,rock castle | castle,Czech Republic
http://www.wikidata.org/entity/Q43162866,Los Castellones,monument | castle,Spain
http://www.wikidata.org/entity/Q52850976,Castillo de Castañares de las Cuevas,castle,Spain
http://www.wikidata.org/entity/Q1133188,Moszna Castle,castle,Poland
http://www.wikidata.org/entity/Q17642114,Shobdon Castle mound,castle,United Kingdom
http://www.wikidata.org/entity/Q882569,Wolfsburg Castle,castle,Germany
http://www.wikidata.org/entity/Q110449177,Castello di Casertavecchia,castle,Italy
http://www.wikidata.org/entity/Q321605,Münzenberg Castle,castle,Germany
http://www.wikidata.org/entity/Q106990957,Kinmuck Castle,castle,United Kingdom
http://www.wikidata.org/entity/Q22969945,Castillo de Barrachina,castle,Spain
http://www.wikidata.org/entity/Q2461065,Motte Luetjenburg,motte-and-bailey castle | castle | open-air museum,Germany
http://www.wikidata.org/entity/Q1012215,Burg Hauenstein,castle,Germany
http://www.wikidata.org/entity/Q5961985,Vali Castle,castle | cultural property,Iran
http://www.wikidata.org/entity/Q67772315,Torre Rotonda,castle | tower,Italy
http://www.wikidata.org/entity/Q11913024,Castell de Claret,castle,Spain
http://www.wikidata.org/entity/Q1125842,Château de la Verrerie,castle,France
http://www.wikidata.org/entity/Q106078921,Rocca Anguissola Scotti,castle,Italy
http://www.wikidata.org/entity/Q113303922,Castello di Quarada,castle,Italy
http://www.wikidata.org/entity/Q2969872,"Château de Messac, Laroquebrou",castle,France
http://www.wikidata.org/entity/Q760719,"Castle Palace, Albalat dels Tarongers",monument | castle,Spain
http://www.wikidata.org/entity/Q935973,Läckö Castle,castle | heritage site in Sweden | tourist attraction | cultural property | architectural ensemble,Sweden
http://www.wikidata.org/entity/Q24659340,Crickadarn Ringwork,castle | enclosure,United Kingdom
http://www.wikidata.org/entity/Q17641162,Burstwick Castle,castle,United Kingdom
http://www.wikidata.org/entity/Q1014076,Burg Staufenberg,castle,Germany
http://www.wikidata.org/entity/Q1014556,Wernstein Castle (Upper Franconia),castle,Germany
http://www.wikidata.org/entity/Q2376692,Château de la Lande,castle,France
http://www.wikidata.org/entity/Q115340255,Killesteyn,castle,Netherlands
http://www.wikidata.org/entity/Q112323123,Castello di Montelagello,castle,Italy
http://www.wikidata.org/entity/Q58402759,Burgplatz,castle,Germany
http://www.wikidata.org/entity/Q2969856,Château de Maÿtie,castle,France
http://www.wikidata.org/entity/Q2969871,Château de Mesmont,castle,France
http://www.wikidata.org/entity/Q78661235,Château de Tremblay,castle,France
http://www.wikidata.org/entity/Q2970001,Château de Montguyon,castle,France
http://www.wikidata.org/entity/Q1012605,Kaltenštejn,castle | castle ruin,Czech Republic
http://www.wikidata.org/entity/Q1557286,Gutshaus Rumpshagen,castle,Germany
